"PARENTID","CONTENTTYPE","NAME","BODY","DESCRIPTION"
"a035w000017kN47AAE","application/pdf","attachment_000","C:\Users\christopherk\dev\salesforce\dataloader-scripts\FirstTry\data\attachments\attachment_000.pdf","Signed Contract - Legacy Determine Path: 1199-1576751164906"
"a035w000017kg72AAA","application/pdf","attachment_001","C:\Users\christopherk\dev\salesforce\dataloader-scripts\FirstTry\data\attachments\attachment_001.pdf","Signed Contract - Legacy Determine Path: 1199-1576751164906"
"a035w000017kg8jAAA","application/pdf","attachment_002","C:\Users\christopherk\dev\salesforce\dataloader-scripts\FirstTry\data\attachments\attachment_002.pdf","Signed Contract - Legacy Determine Path: 1199-1576751164906"
"a035w000017kg93AAA","application/pdf","attachment_003","C:\Users\christopherk\dev\salesforce\dataloader-scripts\FirstTry\data\attachments\attachment_003.pdf","Signed Contract - Legacy Determine Path: 1199-1576751164906"
"a035w000017kg98AAA","application/pdf","attachment_004","C:\Users\christopherk\dev\salesforce\dataloader-scripts\FirstTry\data\attachments\attachment_004.pdf","Signed Contract - Legacy Determine Path: 1199-1576751164906"
"a035w000017kg9DAAQ","application/pdf","attachment_005","C:\Users\christopherk\dev\salesforce\dataloader-scripts\FirstTry\data\attachments\attachment_005.pdf","Signed Contract - Legacy Determine Path: 1199-1576751164906"
